Distance,Calories,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Min Temp,Max Temp,Avg Resp,Min Resp,Max Resp,Min Elevation,Max Elevation
36.80,1246.00,142.00,180.00,4.10,15.30,28.70,1401.00,1385.00,77.00,113.00,138.00,118.00,133.00,111.00,445.00,7939.00,55.40,62.00,28.00,17.00,38.00,9.00,219.00
36.72,1304.00,142.00,191.00,4.70,15.50,31.00,1365.00,1421.00,77.00,121.00,138.00,118.00,133.00,111.00,445.00,8220.00,53.60,66.00,28.00,17.00,38.00,21.00,212.00
40.95,1488.00,145.00,182.00,5.00,14.90,30.20,1827.00,1834.00,77.00,134.00,138.00,118.00,133.00,111.00,445.00,9930.00,51.80,60.00,28.00,17.00,38.00,-49.00,195.00
30.06,981.00,132.00,182.00,3.80,14.40,29.10,1063.00,1102.00,74.00,120.00,138.00,118.00,133.00,111.00,445.00,6438.00,48.20,56.00,28.00,17.00,38.00,-355.00,175.00
21.57,743.00,137.00,187.00,3.90,15.30,25.70,873.00,873.00,76.00,137.00,138.00,118.00,133.00,111.00,445.00,4603.00,53.60,61.00,28.00,17.00,38.00,3.00,153.00
36.25,1611.00,145.00,170.00,2.50,15.00,28.10,1198.00,1237.00,83.00,136.00,138.00,118.00,133.00,111.00,445.00,8204.00,46.40,60.00,28.00,17.00,38.00,-38.00,125.00
1.67,76.00,145.00,170.00,2.50,13.60,21.50,82.00,82.00,209.00,42.00,138.00,118.00,133.00,111.00,445.00,1622.00,48.20,62.00,28.00,17.00,38.00,40.00,111.00
32.29,1272.00,156.00,179.00,5.00,16.60,32.50,1463.00,1444.00,81.00,144.00,138.00,118.00,133.00,111.00,445.00,7340.00,59.00,61.00,33.00,18.00,41.00,15.00,167.00
21.12,1093.00,145.00,170.00,2.50,15.20,28.60,922.00,945.00,75.00,122.00,138.00,118.00,133.00,111.00,445.00,4360.00,41.00,44.00,28.00,17.00,38.00,-528.00,70.00
34.39,1528.00,145.00,170.00,2.50,15.80,30.20,1165.00,1198.00,78.00,134.00,138.00,118.00,133.00,111.00,445.00,7769.00,62.60,67.00,28.00,17.00,38.00,20.00,196.00
33.62,1527.00,145.00,170.00,2.50,16.20,28.20,1152.00,1194.00,85.00,234.00,138.00,118.00,133.00,111.00,445.00,7694.00,62.60,68.00,28.00,17.00,38.00,20.00,199.00
61.57,2588.00,147.00,164.00,3.80,16.10,31.20,1988.00,2001.00,82.00,139.00,138.00,118.00,133.00,111.00,445.00,15604.00,55.40,68.00,32.00,19.00,39.00,196.00,709.00
35.47,1214.00,139.00,171.00,4.00,15.00,29.70,948.00,928.00,97.00,18.00,138.00,118.00,133.00,111.00,445.00,9451.00,62.60,67.00,28.00,17.00,39.00,42.00,246.00
52.21,1695.00,145.00,174.00,5.00,16.50,32.60,1952.00,1985.00,82.00,145.00,138.00,118.00,133.00,111.00,445.00,11622.00,62.60,67.00,29.00,17.00,39.00,12.00,197.00
118.31,3873.00,142.00,175.00,5.00,14.90,40.90,6850.00,6893.00,85.00,197.00,138.00,118.00,133.00,111.00,445.00,32479.00,68.00,79.00,30.00,17.00,41.00,7.00,1296.00
36.51,1608.00,145.00,170.00,2.50,15.10,27.90,1204.00,1286.00,77.00,116.00,138.00,118.00,133.00,111.00,445.00,7283.00,71.60,76.00,28.00,17.00,38.00,18.00,194.00
28.62,1370.00,145.00,170.00,2.50,16.00,29.00,1240.00,1280.00,80.00,253.00,138.00,118.00,133.00,111.00,445.00,5890.00,57.20,64.00,28.00,17.00,38.00,-159.00,-15.00
27.77,1316.00,145.00,170.00,2.50,16.90,32.30,1181.00,1145.00,95.00,149.00,138.00,118.00,133.00,111.00,445.00,7112.00,59.00,64.00,28.00,17.00,38.00,20.00,164.00
17.54,650.00,145.00,170.00,2.50,11.80,24.10,463.00,482.00,98.00,6.00,138.00,118.00,133.00,111.00,445.00,5109.00,71.60,76.00,28.00,17.00,38.00,27.00,201.00
5.82,192.00,145.00,170.00,2.50,10.00,21.20,167.00,167.00,165.00,200.00,138.00,118.00,133.00,111.00,445.00,2670.00,71.60,76.00,28.00,17.00,38.00,39.00,98.00
7.62,313.00,145.00,170.00,2.50,12.90,28.70,338.00,381.00,81.00,102.00,138.00,118.00,133.00,111.00,445.00,1919.00,69.80,76.00,28.00,17.00,38.00,34.00,217.00
101.12,3049.00,140.00,159.00,4.70,16.80,28.10,1660.00,1699.00,85.00,121.00,138.00,118.00,133.00,111.00,445.00,25502.00,57.20,73.00,29.00,15.00,38.00,2.00,270.00
41.30,1407.00,134.00,175.00,3.50,14.10,28.20,1086.00,1161.00,95.00,67.00,138.00,118.00,133.00,111.00,445.00,11083.00,75.20,83.00,27.00,16.00,39.00,225.00,445.00
15.51,567.00,131.00,163.00,2.70,13.50,23.80,482.00,518.00,74.00,122.00,138.00,118.00,133.00,111.00,445.00,3140.00,73.40,80.00,25.00,19.00,37.00,11.00,167.00
21.89,844.00,139.00,169.00,3.40,14.60,30.80,686.00,719.00,100.00,19.00,138.00,118.00,133.00,111.00,445.00,6048.00,77.00,80.00,28.00,16.00,38.00,-9.00,152.00
33.85,1169.00,139.00,172.00,3.70,15.70,34.90,1414.00,1447.00,88.00,253.00,138.00,118.00,133.00,111.00,445.00,7635.00,77.00,85.00,28.00,17.00,39.00,2.00,147.00
62.94,2198.00,141.00,170.00,4.50,16.00,41.00,2612.00,2664.00,85.00,150.00,138.00,118.00,133.00,111.00,445.00,15816.00,62.60,80.00,29.00,15.00,39.00,-87.00,498.00
25.79,898.00,144.00,173.00,3.70,16.40,33.20,991.00,1060.00,84.00,118.00,138.00,118.00,133.00,111.00,445.00,5985.00,73.40,83.00,30.00,20.00,40.00,-20.00,409.00
24.61,1058.00,151.00,181.00,4.30,15.10,39.90,2277.00,2224.00,84.00,156.00,138.00,118.00,133.00,111.00,445.00,6679.00,73.40,87.00,32.00,18.00,42.00,8.00,1236.00
19.28,782.00,135.00,174.00,3.20,13.20,26.90,627.00,594.00,77.00,108.00,138.00,118.00,133.00,111.00,445.00,3632.00,78.80,89.00,27.00,15.00,39.00,-1.00,110.00
28.06,1037.00,142.00,175.00,3.60,15.50,32.80,1207.00,1224.00,79.00,124.00,138.00,118.00,133.00,111.00,445.00,5508.00,75.20,86.00,29.00,17.00,41.00,10.00,242.00
107.30,3645.00,142.00,174.00,5.00,15.60,39.60,3973.00,4035.00,84.00,132.00,138.00,118.00,133.00,111.00,445.00,27366.00,68.00,85.00,30.00,17.00,41.00,-23.00,515.00
21.15,839.00,144.00,180.00,3.60,15.20,26.60,850.00,830.00,93.00,128.00,138.00,118.00,133.00,111.00,445.00,5098.00,82.40,88.00,29.00,17.00,39.00,22.00,138.00
29.52,1017.00,130.00,170.00,3.20,13.20,31.30,1188.00,1194.00,80.00,172.00,138.00,118.00,133.00,111.00,445.00,6741.00,80.60,89.00,26.00,17.00,38.00,18.00,164.00
50.69,1849.00,141.00,177.00,4.20,15.50,36.80,2582.00,2615.00,83.00,128.00,138.00,118.00,133.00,111.00,445.00,12989.00,68.00,85.00,29.00,14.00,41.00,7.00,446.00
26.98,932.00,137.00,173.00,3.30,15.40,32.20,1122.00,1152.00,80.00,122.00,138.00,118.00,133.00,111.00,445.00,5585.00,77.00,90.00,28.00,17.00,40.00,-17.00,129.00
36.63,1331.00,144.00,178.00,3.90,15.30,28.90,1266.00,1247.00,87.00,129.00,138.00,118.00,133.00,111.00,445.00,8656.00,78.80,85.00,30.00,21.00,42.00,22.00,177.00
103.41,3691.00,148.00,179.00,5.00,15.50,39.50,4777.00,4780.00,84.00,127.00,138.00,118.00,133.00,111.00,445.00,25911.00,68.00,90.00,31.00,18.00,42.00,-5.00,528.00
51.68,1910.00,143.00,168.00,4.10,16.50,36.20,1240.00,1230.00,84.00,178.00,138.00,118.00,133.00,111.00,445.00,13078.00,71.60,96.00,30.00,16.00,39.00,151.00,387.00
63.46,2129.00,140.00,172.00,4.50,15.90,37.00,2513.00,2500.00,84.00,147.00,138.00,118.00,133.00,111.00,445.00,15764.00,68.00,92.00,29.00,18.00,40.00,-60.00,475.00
27.19,978.00,146.00,179.00,4.00,16.30,33.00,1230.00,1204.00,99.00,171.00,138.00,118.00,133.00,111.00,445.00,7380.00,78.80,87.00,30.00,18.00,41.00,14.00,159.00
20.49,886.00,154.00,184.00,4.20,16.40,27.10,653.00,620.00,90.00,148.00,138.00,118.00,133.00,111.00,445.00,5460.00,86.00,89.00,33.00,19.00,44.00,104.00,318.00
40.90,1559.00,153.00,177.00,5.00,16.80,29.90,591.00,617.00,94.00,253.00,138.00,118.00,133.00,111.00,445.00,11220.00,75.20,89.00,33.00,15.00,41.00,13.00,223.00
14.05,498.00,139.00,174.00,3.30,15.80,25.80,574.00,545.00,78.00,139.00,138.00,118.00,133.00,111.00,445.00,2850.00,82.40,89.00,28.00,20.00,40.00,23.00,114.00
20.24,649.00,121.00,167.00,2.30,13.00,28.30,535.00,423.00,151.00,86.00,138.00,118.00,133.00,111.00,445.00,8748.00,68.00,89.00,22.00,14.00,36.00,50.00,283.00
34.95,1228.00,124.00,172.00,3.00,11.50,29.00,1198.00,1224.00,69.00,128.00,138.00,118.00,133.00,111.00,445.00,7147.00,80.60,94.00,24.00,16.00,37.00,-13.00,324.00
58.49,2314.00,143.00,179.00,5.00,14.30,34.80,2260.00,2119.00,97.00,94.00,138.00,118.00,133.00,111.00,445.00,16418.00,75.20,91.00,29.00,18.00,42.00,59.00,1081.00
75.57,2661.00,134.00,173.00,4.60,13.50,35.20,2562.00,2411.00,116.00,98.00,138.00,118.00,133.00,111.00,445.00,26233.00,75.20,87.00,27.00,16.00,40.00,218.00,754.00
41.40,1370.00,141.00,175.00,4.10,16.40,25.80,650.00,591.00,85.00,142.00,138.00,118.00,133.00,111.00,445.00,10313.00,66.20,74.00,30.00,14.00,41.00,24.00,236.00
41.61,1511.00,144.00,170.00,4.50,15.70,29.00,1637.00,1594.00,91.00,239.00,138.00,118.00,133.00,111.00,445.00,11737.00,75.20,82.00,30.00,17.00,40.00,29.00,341.00
26.91,1022.00,142.00,182.00,3.90,14.90,26.90,1115.00,1106.00,78.00,132.00,138.00,118.00,133.00,111.00,445.00,6340.00,68.00,82.00,29.00,18.00,40.00,17.00,258.00
16.78,680.00,146.00,184.00,4.10,14.40,27.40,735.00,702.00,82.00,32.00,138.00,118.00,133.00,111.00,445.00,3962.00,64.40,78.00,31.00,19.00,42.00,80.00,243.00
22.64,778.00,132.00,178.00,3.40,13.30,27.00,958.00,922.00,71.00,119.00,138.00,118.00,133.00,111.00,445.00,4396.00,64.40,73.00,27.00,17.00,41.00,39.00,168.00
40.26,1480.00,147.00,176.00,4.80,14.90,31.50,1955.00,1834.00,119.00,66.00,138.00,118.00,133.00,111.00,445.00,13313.00,60.80,69.00,30.00,18.00,41.00,12.00,166.00
28.60,986.00,136.00,172.00,3.70,14.10,29.50,1286.00,1224.00,90.00,90.00,138.00,118.00,133.00,111.00,445.00,7469.00,64.40,68.00,27.00,17.00,40.00,24.00,174.00
21.75,655.00,132.00,178.00,3.40,14.70,27.70,719.00,735.00,101.00,8.00,138.00,118.00,133.00,111.00,445.00,5569.00,66.20,78.00,29.00,21.00,41.00,-314.00,84.00
8.19,323.00,134.00,171.00,2.70,13.30,26.00,167.00,141.00,76.00,23.00,138.00,118.00,133.00,111.00,445.00,1516.00,75.20,71.00,27.00,18.00,40.00,6.00,256.00
26.27,963.00,139.00,174.00,3.90,14.70,27.70,830.00,860.00,93.00,2.00,138.00,118.00,133.00,111.00,445.00,5685.00,46.40,67.00,28.00,18.00,40.00,-30.00,122.00
17.37,734.00,147.00,183.00,4.10,14.60,27.50,594.00,594.00,121.00,168.00,138.00,118.00,133.00,111.00,445.00,5226.00,51.80,45.00,30.00,17.00,43.00,-16.00,100.00
35.60,1561.00,120.00,177.00,4.00,8.60,34.10,1447.00,1434.00,80.00,163.00,138.00,118.00,133.00,111.00,445.00,6987.00,55.40,50.00,24.00,13.00,41.00,-5.00,251.00
21.22,889.00,145.00,170.00,2.50,13.30,25.70,846.00,866.00,60.00,102.00,138.00,118.00,133.00,111.00,445.00,3232.00,50.00,42.00,28.00,17.00,38.00,36.00,152.00
22.26,866.00,137.00,173.00,3.60,12.90,24.90,1047.00,1056.00,88.00,200.00,138.00,118.00,133.00,111.00,445.00,5319.00,51.80,52.00,28.00,18.00,38.00,16.00,246.00
9.75,426.00,144.00,187.00,3.50,13.80,21.70,371.00,371.00,75.00,102.00,138.00,118.00,133.00,111.00,445.00,8338.00,57.20,65.00,29.00,18.00,44.00,10.00,108.00
